WirelessDeviceId,SequenceNumber,TotalLength,SourceAddress,Range,Status,Event,SenVal,SenEvent,OAVelocity,Peakmg,RMSmg,Kurtosis,CrestFactor,Skewness,Deviation,Peak-to-Peak Displacement,SenEvent,OAVelocity,Peakmg,RMSmg,Kurtosis,CrestFactor,Skewness,Deviation,Peak-to-Peak Displacement,SenEvent,OAVelocity,Peakmg,RMSmg,Kurtosis,CrestFactor,Skewness,Deviation,Peak-to-Peak Displacement,LogIndex,Time,Events,PowerSrc,BatteryVolt,Time
11e4ced4-d5fd-4008-81b5-d6ddb70e495e,210,88,null,0,0,0,28125,0,6,5,4,-2,23,21,0,1,0,5,5,4,0,0,0,0,0,0,4,5,4,0,0,0,0,0,0,1670006637,0,2,3503,1670006638
11e4ced4-d5fd-4008-81b5-d6ddb70e495e,211,88,null,0,0,0,28062,0,5,5,4,-6,166,2,0,1,0,5,5,4,0,0,0,0,0,0,5,5,4,0,0,0,0,0,0,1670007537,0,2,3503,1670007538
11e4ced4-d5fd-4008-81b5-d6ddb70e495e,212,88,null,0,0,0,28000,0,6,5,4,-13,141,3,0,1,0,5,5,4,0,0,0,0,0,0,5,5,4,0,0,0,0,0,0,1670008437,0,2,3503,1670008438
11e4ced4-d5fd-4008-81b5-d6ddb70e495e,213,88,null,0,0,0,27937,0,4,5,4,-11,223,7,0,1,0,5,4,3,0,0,0,0,0,0,5,5,4,0,0,0,0,0,0,1670009337,0,2,3503,1670009338
11e4ced4-d5fd-4008-81b5-d6ddb70e495e,214,88,null,0,0,0,27875,0,5,5,4,-15,72,6,0,1,0,5,5,4,0,0,0,0,0,0,6,5,4,0,0,0,0,0,0,1670010237,0,2,3503,1670010238
11e4ced4-d5fd-4008-81b5-d6ddb70e495e,215,88,null,0,0,0,27875,0,6,5,4,0,236,4,0,1,0,5,4,3,0,0,0,0,0,0,7,5,4,0,0,0,0,0,0,1670011137,0,2,3503,1670011138
11e4ced4-d5fd-4008-81b5-d6ddb70e495e,216,88,null,0,0,0,27812,0,4,5,4,-3,23,11,0,0,0,6,5,4,0,0,0,0,0,0,6,5,4,0,0,0,0,0,0,1670012037,0,2,3503,1670012038
11e4ced4-d5fd-4008-81b5-d6ddb70e495e,217,88,null,0,0,0,27750,0,4,5,4,-11,310,13,0,1,0,6,5,4,0,0,0,0,0,0,4,5,4,0,0,0,0,0,0,1670012937,0,2,3503,1670012938
11e4ced4-d5fd-4008-81b5-d6ddb70e495e,218,88,null,0,0,0,27687,0,4,5,4,-2,145,10,0,0,0,5,5,4,0,0,0,0,0,0,6,5,4,0,0,0,0,0,0,1670013838,0,2,3503,1670013839
11e4ced4-d5fd-4008-81b5-d6ddb70e495e,219,88,null,0,0,0,27687,0,6,5,4,-1,335,6,0,1,0,6,5,4,0,0,0,0,0,0,5,5,4,0,0,0,0,0,0,1670014737,0,2,3503,1670014738
11e4ced4-d5fd-4008-81b5-d6ddb70e495e,220,88,null,0,0,0,27687,0,4,5,4,-11,0,11,0,0,0,5,5,4,0,0,0,0,0,0,5,5,4,0,0,0,0,0,0,1670015637,0,2,3503,1670015638
11e4ced4-d5fd-4008-81b5-d6ddb70e495e,221,88,null,0,0,0,27625,0,3,5,4,6,0,0,0,0,0,5,5,4,0,0,0,0,0,0,8,5,4,0,0,0,0,0,0,1670016537,0,2,3503,1670016538
11e4ced4-d5fd-4008-81b5-d6ddb70e495e,222,88,null,0,0,0,27562,0,5,5,4,-9,274,3,0,1,0,5,5,4,0,0,0,0,0,0,5,5,4,0,0,0,0,0,0,1670017437,0,2,3503,1670017438
11e4ced4-d5fd-4008-81b5-d6ddb70e495e,223,88,null,0,0,0,27562,0,5,5,4,3,187,9,0,1,0,6,5,4,0,0,0,0,0,0,6,5,4,0,0,0,0,0,0,1670018337,0,2,3503,1670018338
